Label,Message
spam,Get a new iPhone for $1. Claim yours now!
spam,You have been selected for a cash prize of $5000.
spam,WINNER!! As a valued network customer you have been selected
spam,Exclusive offer just for you! Claim your reward now.
spam,"You've been pre-approved for a $10,000 loan. No credit check!"
spam,Limited time offer! Buy one get one free!
spam,You’ve won tickets to the concert! Call to confirm.
spam,Congratulations! You've won a free ticket to Bahamas. Call now!
spam,Urgent! You have won a $1000 Walmart gift card. Click here.
spam,Free entry in 2 a weekly competition to win FA Cup final tkts
spam,Get a new iPhone for $1. Claim yours now!
spam,You have been selected for a cash prize of $5000.
spam,WINNER!! As a valued network customer you have been selected
spam,Exclusive offer just for you! Claim your reward now.
spam,"You've been pre-approved for a $10,000 loan. No credit check!"
spam,Limited time offer! Buy one get one free!
spam,You’ve won tickets to the concert! Call to confirm.
spam,Congratulations! You've won a free ticket to Bahamas. Call now!
spam,Urgent! You have won a $1000 Walmart gift card. Click here.
spam,Free entry in 2 a weekly competition to win FA Cup final tkts
spam,Get a new iPhone for $1. Claim yours now!
spam,You have been selected for a cash prize of $5000.
spam,WINNER!! As a valued network customer you have been selected
spam,Exclusive offer just for you! Claim your reward now.
spam,"You've been pre-approved for a $10,000 loan. No credit check!"
spam,Limited time offer! Buy one get one free!
spam,You’ve won tickets to the concert! Call to confirm.
ham,"Hey, are we still meeting at 6?"
ham,Don't forget to bring your notebook tomorrow.
ham,Can you send me the report by tonight?
ham,I'll call you when I get home.
ham,Let's catch up this weekend!
ham,Your appointment is confirmed for tomorrow.
ham,Happy birthday! Hope you have a great day!
ham,Can we reschedule our meeting to Monday?
ham,Lunch at 1 PM works for me.
ham,Please find the attached file for your reference.
ham,"Hey, are we still meeting at 6?"
ham,Don't forget to bring your notebook tomorrow.
ham,Can you send me the report by tonight?
ham,I'll call you when I get home.
ham,Let's catch up this weekend!
ham,Your appointment is confirmed for tomorrow.
ham,Happy birthday! Hope you have a great day!
ham,Can we reschedule our meeting to Monday?
ham,Lunch at 1 PM works for me.
ham,Please find the attached file for your reference.
ham,"Hey, are we still meeting at 6?"
ham,Don't forget to bring your notebook tomorrow.
ham,Can you send me the report by tonight?
ham,I'll call you when I get home.
ham,Let's catch up this weekend!
ham,Your appointment is confirmed for tomorrow.
ham,Happy birthday! Hope you have a great day!
ham,Can we reschedule our meeting to Monday?
ham,Lunch at 1 PM works for me.
ham,Please find the attached file for your reference.
ham,"Hey, are we still meeting at 6?"
ham,Don't forget to bring your notebook tomorrow.
ham,Can you send me the report by tonight?
ham,I'll call you when I get home.
ham,Let's catch up this weekend!
ham,Your appointment is confirmed for tomorrow.
ham,Happy birthday! Hope you have a great day!
ham,Can we reschedule our meeting to Monday?
ham,Lunch at 1 PM works for me.
ham,Please find the attached file for your reference.
ham,"Hey, are we still meeting at 6?"
ham,Don't forget to bring your notebook tomorrow.
ham,Can you send me the report by tonight?
ham,I'll call you when I get home.
ham,Let's catch up this weekend!
ham,Your appointment is confirmed for tomorrow.
ham,Happy birthday! Hope you have a great day!
ham,Can we reschedule our meeting to Monday?
ham,Lunch at 1 PM works for me.
ham,Please find the attached file for your reference.
ham,"Hey, are we still meeting at 6?"
ham,Don't forget to bring your notebook tomorrow.
ham,Can you send me the report by tonight?
ham,I'll call you when I get home.
ham,Let's catch up this weekend!
ham,Your appointment is confirmed for tomorrow.
ham,Happy birthday! Hope you have a great day!
ham,Can we reschedule our meeting to Monday?
ham,Lunch at 1 PM works for me.
ham,Please find the attached file for your reference.
ham,"Hey, are we still meeting at 6?"
ham,Don't forget to bring your notebook tomorrow.
ham,Can you send me the report by tonight?
ham,I'll call you when I get home.
ham,Let's catch up this weekend!
ham,Your appointment is confirmed for tomorrow.
ham,Happy birthday! Hope you have a great day!
ham,Can we reschedule our meeting to Monday?
ham,Lunch at 1 PM works for me.
ham,Please find the attached file for your reference.
ham,"Hey, are we still meeting at 6?"
ham,Don't forget to bring your notebook tomorrow.
ham,Can you send me the report by tonight?
ham,I'll call you when I get home.
ham,Let's catch up this weekend!
ham,Your appointment is confirmed for tomorrow.
ham,Happy birthday! Hope you have a great day!
ham,Can we reschedule our meeting to Monday?
ham,Lunch at 1 PM works for me.
ham,Please find the attached file for your reference.
ham,"Hey, are we still meeting at 6?"
ham,Don't forget to bring your notebook tomorrow.
ham,Can you send me the report by tonight?
ham,I'll call you when I get home.
ham,Let's catch up this weekend!
ham,Your appointment is confirmed for tomorrow.
ham,Happy birthday! Hope you have a great day!
ham,Can we reschedule our meeting to Monday?
ham,Lunch at 1 PM works for me.
ham,Please find the attached file for your reference.
ham,"Hey, are we still meeting at 6?"
ham,Don't forget to bring your notebook tomorrow.
ham,Can you send me the report by tonight?
ham,I'll call you when I get home.
ham,Let's catch up this weekend!
ham,Your appointment is confirmed for tomorrow.
ham,Happy birthday! Hope you have a great day!
ham,Can we reschedule our meeting to Monday?
ham,Lunch at 1 PM works for me.
ham,Please find the attached file for your reference.
